Multilocalidad_1,Registro Federal de Contribuyentes_2,Número beneficiados_3 ,Hombres beneficiados_4,Mujeres beneficiadas_5,Viviendas beneficiadas_6,Clave Municipio donde se encuentra la obra_7,Municipio donde se encuentra la obra_8,Clave Localidad donde se encuentra la obra_9,Localidad donde se encuentra la obra_10,Asentamiento humano_11,Nombre vialidad_12,Número Exterior_13,Número Interior_14,Código Postal_15,Referencia del domicilio_16,Dependencia que opera el programa_17,Clave del programa_18,Clave del subprograma_19,Nombre del programa_20,Tipo de apoyo_21,Identificador de la Obra_22,Descripción de la Obra_23,Cantidad de beneficios_24,Total en pesos de los beneficios_25,Inversión federal_26,Inversión estatal_27,Inversión municipal_28,Inversión de otras fuentes_29,Fuentes que fondean el recurso_30,Trimestre_31,Año de ejercicio_32,Fecha Inicio_33,Fecha Fin_34,Periodicidad de entrega del beneficio_35,Número de la entrega del beneficio_36,
NO,PAAE791224V30,15,5,10,8,27005,Comalcalco,270050015,Centro Tular 2da. Sección,Pueblo,XXXXXXXX,0,0,86XXX,Entre calle y calle,Servicio Estatal de Empleo,C0585,,Programa 1,OB,OB1,BANQUETAS,1,30000,0,20000,10000,0,EM,T2,2015,20150415,20150515,ME,1,
NO,PAAE791224V30,35,20,15,10,27005,Comalcalco,270050015,Centro Tular 2da. Sección,Pueblo,XXXXXXXX,0,0,86XXX,Entre calle y calle,Servicio Estatal de Empleo,C0585,,Programa 1,OB,OB2,BANQUETAS,1,30000,0,20000,10000,0,EM,T2,2015,20150416,20150516,ME,2,
NO,PAAE791224V30,40,20,20,25,27005,Comalcalco,270050015,Centro Tular 2da. Sección,Pueblo,XXXXXXXX,0,0,86XXX,Entre calle y calle,Servicio Estatal de Empleo,C0585,,Programa 1,OB,OB3,BANQUETAS,1,30000,0,20000,10000,0,EM,T2,2015,20150417,20150517,ME,3,
NO,PAAE791224V30,55,25,30,25,27005,Comalcalco,270050015,Centro Tular 2da. Sección,Pueblo,XXXXXXXX,0,0,86XXX,Entre calle y calle,Servicio Estatal de Empleo,C0585,,Programa 1,OB,OB4,BANQUETAS,1,30000,0,20000,10000,0,EM,T2,2015,20150418,20150518,ME,4,
NO,PAAE791224V30,10,2,8,5,27005,Comalcalco,270050057,Reyes Hernández 1ra. Sección,Pueblo,XXXXXXXX,0,0,86XXX,Entre calle y calle,Servicio Estatal de Empleo,C0585,,Programa 1,OB,OB5,BANQUETAS,1,30000,0,20000,10000,0,EM,T2,2015,20150419,20150519,ME,5,
NO,PAAE791224V30,7,4,3,4,27005,Comalcalco,270050057,Reyes Hernández 1ra. Sección,Pueblo,XXXXXXXX,0,0,86XXX,Entre calle y calle,Servicio Estatal de Empleo,C0585,,Programa 1,OB,OB6,BANQUETAS,1,30000,0,20000,10000,0,EM,T2,2015,20150420,20150520,ME,6,
NO,PAAE791224V30,85,44,41,38,27005,Comalcalco,270050057,Reyes Hernández 1ra. Sección,Pueblo,XXXXXXXX,0,0,86XXX,Entre calle y calle,Servicio Estatal de Empleo,C0585,,Programa 1,OB,OB7,BANQUETAS,1,30000,0,20000,10000,0,EM,T2,2015,20150421,20150521,ME,7,
NO,PAAE791224V30,22,11,11,10,27005,Comalcalco,270050057,Reyes Hernández 1ra. Sección,Pueblo,XXXXXXXX,0,0,86XXX,Entre calle y calle,Servicio Estatal de Empleo,C0585,,Programa 1,OB,OB8,BANQUETAS,1,30000,0,20000,10000,0,EM,T2,2015,20150422,20150522,ME,8,
NO,PAAE791224V30,10,5,5,6,27005,Comalcalco,270050057,Reyes Hernández 1ra. Sección,Pueblo,XXXXXXXX,0,0,86XXX,Entre calle y calle,Servicio Estatal de Empleo,C0585,,Programa 1,OB,OB9,BANQUETAS,1,30000,0,20000,10000,0,EM,T2,2015,20150423,20150523,ME,9,
NO,PAAE791224V30,10,5,5,4,27005,Comalcalco,270050057,Reyes Hernández 1ra. Sección,Pueblo,XXXXXXXX,0,0,86XXX,Entre calle y calle,Servicio Estatal de Empleo,C0585,,Programa 1,OB,OB0,BANQUETAS,1,30000,0,20000,10000,0,EM,T2,2015,20150424,20150524,ME,10,
